pdbId	structure	stoichiometry	symmetry
424D	bio	A	C1
125L	bio	A	C1
225D	bio	A	C1
225L	bio	A	C1
325D	bio	A	C1
425D	bio	A	C1
126D	bio	A	C1
126L	bio	A	C1
226D	bio	A	C1
226L	bio	A	C1
326D	bio	A	C1
426D	bio	A	C1
127D	bio	A	C1
127L	bio	A	C1
227D	bio	A	C1
227L	bio	A	C1
327D	bio	A	C1
427D	bio	A	C1
128D	bio	A	C1
128L	bio	A	C1
228L	bio	A	C1
328D	bio	A	C1
428D	bio	A	C1
129D	bio	A	C1
129L	bio	A	C1
229D	bio	A	C1
229L	bio	A	C1
329D	bio	A	C1
429D	bio	A	C1
12AS	bio	A2	C2
12CA	bio	A	C1
32C2	bio	AB	C1
12E8	bio	LH	C1
12GS	bio	A2	C2
22GS	bio	A2	C2
130D	bio	A	C1
130L	bio	A	C1
230D	bio	A	C1
230L	bio	A	C1
330D	bio	A	C1
430D	bio	A	C1
131D	bio	A	C1
131L	bio	A	C1
231D	bio	A	C1
231L	bio	A	C1
331D	bio	A	C1
431D	bio	A	C1
132D	bio	A	C1
132L	bio	A	C1
232D	bio	A	C1
232L	bio	A	C1
332D	bio	A	C1
432D	bio	A	C1
133D	bio	A	C1
133L	bio	A	C1
233D	bio	A	C1
233L	bio	A	C1
333D	bio	A	C1
433D	bio	A	C1
134D	bio	A	C1
134L	bio	A	C1
234D	bio	A	C1
234L	bio	A	C1
334D	bio	A	C1
434D	bio	A	C1
135D	bio	A	C1
135L	bio	A	C1
235D	bio	A	C1
235L	bio	A	C1
335D	bio	A	C1
435D	bio	A	C1
136D	bio	A	C1
236D	bio	A	C1
236L	bio	A	C1
336D	bio	A	C1
436D	bio	A	C1
137D	bio	A	C1
137L	bio	A	C1
237D	bio	A	C1
237L	bio	A	C1
337D	bio	A	C1
437D	bio	A	C1
138D	bio	A	C1
138L	bio	A	C1
238D	bio	A	C1
238L	bio	A	C1
338D	bio	A	C1
438D	bio	A	C1
139D	bio	A	C1
139L	bio	A	C1
239D	bio	A	C1
239L	bio	A	C1
339D	bio	A	C1
439D	bio	A	C1
43C9	bio	A2B2	C2
43CA	bio	A2B2	C2
13GS	bio	A2	C2
13PK	bio	A	C1
140D	bio	A	C1
140L	bio	A	C1
240D	bio	A	C1
240L	bio	A	C1
340D	bio	A	C1
440D	bio	A	C1
141D	bio	A	C1
141L	bio	A	C1
241D	bio	A	C1
241L	bio	A	C1
341D	bio	A	C1
441D	bio	A	C1
142D	bio	A	C1
142L	bio	A	C1
242D	bio	A	C1
242L	bio	A	C1
342D	bio	A	C1
442D	bio	A	C1
143D	bio	A	C1
143L	bio	A	C1
243D	bio	A	C1
243L	bio	A	C1
343D	bio	A	C1
443D	bio	A	C1
144D	bio	A	C1
144L	bio	A	C1
244D	bio	A	C1
244L	bio	A	C1
344D	bio	A	C1
444D	bio	A	C1
145L	bio	A	C1
245D	bio	A	C1
245L	bio	A	C1
345D	bio	A	C1
445D	bio	A	C1
146D	bio	A	C1
146L	bio	A	C1
246D	bio	A	C1
246L	bio	A	C1
346D	bio	A	C1
147L	bio	A	C1
247D	bio	A	C1
247L	bio	A	C1
447D	bio	A	C1
148D	bio	A	C1
148L	bio	E	C1
248D	bio	A	C1
248L	bio	A	C1
348D	bio	A	C1
448D	bio	A	C1
149D	bio	A	C1
149L	bio	A	C1
249D	bio	A	C1
249L	bio	A	C1
349D	bio	A	C1
449D	bio	A	C1
14GS	bio	A2	C2
150D	bio	A	C1
150L	bio	A	C1
250D	bio	A	C1
250L	bio	A	C1
151D	bio	A	C1
151L	bio	A	C1
251D	bio	A	C1
251L	bio	A	C1
351C	bio	A	C1
351D	bio	A	C1
451C	bio	A	C1
152D	bio	A	C1
152L	bio	A	C1
252D	bio	A	C1
252L	bio	A	C1
352D	bio	A	C1
452D	bio	A	C1
153D	bio	A	C1
153L	bio	A	C1
253D	bio	A	C1
353D	bio	A	C1
453D	bio	A	C1
154D	bio	A	C1
154L	bio	A	C1
254D	bio	A	C1
354D	bio	A	C1
454D	bio	A	C1
155C	bio	A	C1
155L	bio	A	C1
255D	bio	A	C1
355D	bio	A	C1
455D	bio	A	C1
156D	bio	A	C1
156L	bio	A	C1
256B	bio	A	C1
256D	bio	A	C1
256L	bio	A	C1
456C	bio	A2	C2
456D	bio	A	C1
157D	bio	A	C1
157L	bio	A	C1
257D	bio	A	C1
257L	bio	A	C1
357D	bio	C	C1
457D	bio	A	C1
158D	bio	A	C1
158L	bio	A	C1
258D	bio	A	C1
258L	bio	A	C1
358D	bio	A	C1
458D	bio	A	C1
159D	bio	A	C1
159L	bio	A	C1
259D	bio	A	C1
259L	bio	A	C1
359D	bio	A	C1
459D	bio	A	C1
15C8	bio	LH	C1
25C8	bio	LH	C1
35C8	bio	LH	C1
160D	bio	A	C1
160L	bio	A	C1
260D	bio	A	C1
260L	bio	A	C1
360D	bio	A	C1
460D	bio	A	C1
161D	bio	A	C1
161L	bio	A	C1
261D	bio	A	C1
261L	bio	A	C1
361D	bio	A	C1
461D	bio	A	C1
162L	bio	A	C1
262L	bio	A	C1
362D	bio	A	C1
462D	bio	A	C1
163L	bio	A	C1
263D	bio	A	C1
463D	bio	A	C1
164L	bio	A	C1
264D	bio	A	C1
364D	bio	C	C1
464D	bio	A	C1
165D	bio	A	C1
165L	bio	A	C1
265D	bio	A	C1
365D	bio	A	C1
465D	bio	A	C1
166D	bio	A	C1
166L	bio	A	C1
266D	bio	A	C1
366D	bio	A	C1
167D	bio	A	C1
167L	bio	A	C1
267D	bio	A	C1
367D	bio	A	C1
467D	bio	A	C1
168D	bio	A	C1
168L	bio	A	C1
268D	bio	A	C1
368D	bio	A	C1
468D	bio	A	C1
169D	bio	A	C1
169L	bio	A	C1
269D	bio	A	C1
369D	bio	A	C1
469D	bio	A	C1
16GS	bio	A2	C2
16PK	bio	A	C1
16VP	bio	A	C1
170D	bio	A	C1
170L	bio	A	C1
270D	bio	A	C1
370D	bio	A	C1
470D	bio	A	C1
171D	bio	A	C1
171L	bio	A	C1
271D	bio	A	C1
371D	bio	A	C1
471D	bio	A	C1
172D	bio	A	C1
172L	bio	A	C1
272D	bio	A	C1
372D	bio	A	C1
472D	bio	A	C1
173D	bio	A	C1
173L	bio	A	C1
473D	bio	A	C1
174L	bio	A	C1
274D	bio	A	C1
474D	bio	A	C1
175D	bio	A	C1
175L	bio	A	C1
275D	bio	A	C1
375D	bio	A	C1
176D	bio	A	C1
176L	bio	A	C1
276D	bio	A	C1
376D	bio	A	C1
476D	bio	A	C1
177D	bio	A	C1
177L	bio	A2	C2
277D	bio	A	C1
377D	bio	A	C1
477D	bio	A	C1
178D	bio	A	C1
178L	bio	A4	C4
278D	bio	A	C1
378D	bio	A	C1
478D	bio	A	C1
179D	bio	A	C1
279D	bio	A	C1
379D	bio	A	C1
479D	bio	A	C1
17GS	bio	A2	C2
17RA	bio	A2	C2
180D	bio	A	C1
180L	bio	A	C1
280D	bio	A	C1
380D	bio	A	C1
480D	bio	A	C1
181D	bio	A	C1
181L	bio	A	C1
281D	bio	A	C1
381D	bio	A	C1
481D	bio	A	C1
182D	bio	A	C1
182L	bio	A	C1
282D	bio	A	C1
382D	bio	A	C1
482D	bio	A	C1
183D	bio	A	C1
183L	bio	A	C1
283D	bio	A	C1
383D	bio	A	C1
483D	bio	A	C1
184L	bio	A	C1
284D	bio	A	C1
384D	bio	A	C1
484D	bio	A	C1
185D	bio	A	C1
185L	bio	A	C1
285D	bio	A	C1
385D	bio	A	C1
485D	bio	A	C1
186D	bio	A	C1
186L	bio	A	C1
286D	bio	A	C1
386D	bio	A	C1
187D	bio	A	C1
187L	bio	A	C1
287D	bio	A	C1
387D	bio	A	C1
487D	bio	A	C1
188D	bio	A	C1
188L	bio	A	C1
288D	bio	A	C1
388D	bio	A	C1
189D	bio	A	C1
189L	bio	A	C1
289D	bio	A	C1
389D	bio	A	C1
28DN	bio	A	C1
18GS	bio	A2	C2
28SP	bio	A2	C2
28SR	bio	A2	C2
190D	bio	A	C1
190L	bio	A	C1
290D	bio	A	C1
390D	bio	A	C1
1914	bio	A2	C2
191D	bio	A	C1
191L	bio	A	C1
291D	bio	A	C1
391D	bio	A	C1
192D	bio	A	C1
192L	bio	A	C1
292D	bio	A	C1
392D	bio	A	C1
193D	bio	A	C1
193L	bio	A	C1
293D	bio	A	C1
393D	bio	A	C1
194D	bio	A	C1
194L	bio	A	C1
294D	bio	A	C1
394D	bio	A	C1
195D	bio	A	C1
195L	bio	A	C1
295D	bio	A	C1
395D	bio	A	C1
196D	bio	A	C1
196L	bio	A	C1
296D	bio	A	C1
396D	bio	A	C1
197D	bio	A	C1
197L	bio	A	C1
297D	bio	A	C1
397D	bio	A	C1
198D	bio	A	C1
198L	bio	A	C1
298D	bio	A	C1
398D	bio	A	C1
199D	bio	A	C1
199L	bio	A	C1
299D	bio	A	C1
399D	bio	A	C1
19GS	bio	A2	C2
19HC	bio	A	C1
1A00	bio	A2B2	C2
1A01	bio	A2B2	C2
1A02	bio	A2B2	C2
1A03	bio	A2B2	C2
1A04	bio	A	C1
1A05	bio	A2	C2
1A06	bio	A2	C2
1A07	bio	A	C1
1A08	bio	A	C1
1A09	bio	A	C1
1A0A	bio	A	C1
1A0B	bio	A	C1
1A0C	bio	A4	D2
1A0D	bio	A4	D2
1A0E	bio	A4	D2
1A0F	bio	A2	C2
1A0G	bio	A2	C2
1A0H	bio	AB	C1
1A0I	bio	A	C1
1A0J	bio	A	C1
1A0K	bio	A	C1
1A0L	bio	A2	C2
1A0M	bio	A	C1
1A0N	bio	A	C1
1A0O	bio	A	C1
1A0P	bio	A	C1
1A0Q	bio	LH	C1
1A0R	bio	BGP	C1
1A0S	bio	P3	C3
1A0T	bio	P3	C3
1A0U	bio	A2B2	C2
1A0Z	bio	A2B2	C2
2A00	bio	A2B2	C2
2A01	bio	A	C1
2A02	bio	A	C1
2A03	bio	A	C1
2A04	bio	A	C1
2A05	bio	A	C1
2A06	bio	A	C1
2A07	bio	F	C1
2A08	bio	A	C1
2A0A	bio	A	C1
2A0B	bio	A	C1
2A0C	bio	X	C1
2A0F	bio	A6B6	D3
2A0I	bio	BA	C1
2A0J	bio	A2	C2
2A0K	bio	A2	C2
2A0L	bio	A4C4D4	C4
2A0M	bio	A	C1
2A0N	bio	A	C1
2A0P	bio	A	C1
2A0Q	bio	AB	C1
2A0S	bio	A6	D3
2A0T	bio	A6	D3
2A0U	bio	A2	C2
2A0W	bio	A3	C3
2A0X	bio	A3	C3
2A0Y	bio	A3	C3
2A0Z	bio	A2	C2
3A01	bio	A	C1
3A02	bio	A	C1
3A03	bio	A	C1
3A04	bio	A2	C2
3A05	bio	A2	C2
3A06	bio	A2	C2
3A07	bio	A	C1
3A08	bio	A	C1
3A09	bio	A	C1
3A0A	bio	A	C1
3A0B	bio	A	C1
3A0C	bio	A2	C2
3A0D	bio	A2	C2
3A0E	bio	A2	C2
3A0F	bio	A	C1
3A0G	bio	AB	C1
3A0H	bio	AB	C1
3A0I	bio	X	C1
3A0J	bio	A2	C2
3A0K	bio	A2	C2
3A0M	bio	A	C1
3A0N	bio	A	C1
3A0O	bio	A	C1
3A0R	bio	AB	C1
3A0S	bio	A	C1
3A0T	bio	A	C1
3A0U	bio	A	C1
3A0V	bio	A	C1
3A0W	bio	A	C1
3A0X	bio	A	C1
3A0Y	bio	A	C1
3A0Z	bio	A	C1
4A00	bio	A2	C2
4A01	bio	A2	C2
4A02	bio	A	C1
4A03	bio	A2	C2
4A04	bio	A	C1
4A05	bio	A	C1
4A06	bio	A	C1
4A07	bio	A	C1
4A09	bio	A	C1
4A0D	bio	A	C1
4A0E	bio	A	C1
4A0F	bio	A2	C2
4A0G	bio	A2	C2
4A0H	bio	A2	C2
4A0I	bio	AC	C1
4A0J	bio	A	C1
4A0M	bio	A2	C2
4A0N	bio	A	C1
4A0O	bio	A	C1
4A0Q	bio	A	C1
4A0R	bio	A2	C2
4A0S	bio	A4	D2
4A0T	bio	A3	C3
4A0U	bio	A3	C3
4A0V	bio	A3	C3
4A0W	bio	A3	C3
4A0X	bio	A2	C2
4A0Y	bio	A2	C2
4A0Z	bio	A2	C2
5A00	bio	A	C1
5A02	bio	A	C1
5A0D	bio	A	C1
5A0F	bio	A	C1
5A0G	bio	A	C1
5A0U	bio	A2	C2
5A0V	bio	A	C1
5A0X	bio	AC	C1
1A11	bio	AC	C1
1A12	bio	A	C1
1A13	bio	A	C1
1A14	bio	N4H4L4	C4
1A15	bio	A2	C2
1A16	bio	A2	C2
1A17	bio	A	C1
1A18	bio	A	C1
1A19	bio	A	C1
1A1A	bio	A	C1
1A1B	bio	A	C1
1A1C	bio	A	C1
1A1D	bio	A	C1
1A1E	bio	A	C1
1A1F	bio	A	C1
1A1J	bio	A	C1
1A1K	bio	A	C1
1A1L	bio	A	C1
1A1M	bio	ABC	C1
1A1N	bio	ABC	C1
1A1O	bio	C	C1
1A1P	bio	C	C1
1A1R	bio	A	C1
1A1S	bio	A3	C3
1A1T	bio	A3	C3
1A1U	bio	A3	C3
1A1V	bio	B	C1
1A1W	bio	B	C1
1A1X	bio	A2	C2
1A1Z	bio	A2	C2
2A10	bio	A6	C6
2A11	bio	A2	C2
2A13	bio	A2	C2
2A14	bio	A2	C2
2A15	bio	A2	C2
2A18	bio	A6	C6
2A19	bio	A	C1
2A1A	bio	A2B2	C2
2A1B	bio	A6	C6
2A1C	bio	A6	C6
2A1D	bio	ABD	C1
2A1E	bio	A2	C2
2A1F	bio	A6	D3
2A1H	bio	A2	C2
2A1I	bio	A	C1
2A1K	bio	A	C1
2A1L	bio	A	C1
2A1M	bio	A	C1
2A1N	bio	A	C1
2A1O	bio	A	C1
2A1R	bio	C2A2	C2
2A1S	bio	A2	C2
2A1T	bio	A4	D2
2A1U	bio	AB	C1
2A1V	bio	A	C1
2A1W	bio	LH	C1
2A1X	bio	A	C1
2A1Y	bio	A4	C4
3A10	bio	A	C1
3A11	bio	A2	C2
3A12	bio	A2	C2
3A13	bio	A2	C2
3A14	bio	A2	C2
3A15	bio	A2	C2
3A16	bio	A2	C2
3A17	bio	A2	C2
3A18	bio	A2	C2
3A19	bio	A	C1
3A1A	bio	A	C1
3A1B	bio	A	C1
3A1C	bio	A2	C2
3A1D	bio	A2	C2
3A1E	bio	A2	C2
3A1F	bio	A	C1
3A1G	bio	AB	C1
3A1H	bio	A	C1
3A1I	bio	A2	C2
3A1J	bio	C	C1
3A1K	bio	A2	C2
3A1L	bio	A	C1
3A1M	bio	A	C1
3A1N	bio	A2	C2
3A1P	bio	AB	C1
3A1Q	bio	C	C1
3A1R	bio	A	C1
3A1S	bio	A	C1
3A1T	bio	A	C1
3A1U	bio	A	C1
3A1V	bio	A	C1
3A1W	bio	A	C1
3A1Y	bio	A2	C2
3A1Z	bio	A	C1
4A10	bio	A2	C2
4A11	bio	AB	C1
4A12	bio	FG	C1
4A13	bio	FG	C1
4A14	bio	A	C1
4A15	bio	A	C1
4A16	bio	A2	C2
4A1F	bio	A2	C2
4A1G	bio	AE	C1
4A1H	bio	A	C1
4A1I	bio	A	C1
4A1J	bio	A	C1
4A1K	bio	A2	C2
4A1M	bio	A2	C2
4A1N	bio	A2	C2
4A1O	bio	A2	C2
4A1R	bio	A	C1
4A1S	bio	AC	C1
4A1U	bio	A2B2	C2
4A1W	bio	A2P2	C2
4A1Y	bio	A	C1
4A1Z	bio	A	C1
5A16	bio	AB	C1
5A17	bio	AB	C1
5A18	bio	AB	C1
5A1P	bio	A	C1
5A1Q	bio	A2	C2
5A1R	bio	A	C1
5A1U	bio	A	C1
5A1V	bio	A	C1
5A1W	bio	A	C1
5A1X	bio	A	C1
5A1Y	bio	A	C1
1A21	bio	A	C1
1A22	bio	AB	C1
1A23	bio	AB	C1
1A24	bio	AB	C1
1A25	bio	A	C1
1A26	bio	A	C1
1A27	bio	A2	C2
1A28	bio	A	C1
1A29	bio	A	C1
1A2A	bio	A	C1
1A2B	bio	A	C1
1A2C	bio	J	C1
1A2D	bio	A	C1
1A2E	bio	A	C1
1A2F	bio	A	C1
1A2G	bio	A	C1
1A2I	bio	A	C1
1A2J	bio	A	C1
1A2K	bio	A2	C2
1A2L	bio	A	C1
1A2M	bio	A	C1
1A2N	bio	A3	C3
1A2O	bio	A	C1
1A2P	bio	A	C1
1A2Q	bio	A	C1
1A2S	bio	A	C1
1A2T	bio	A	C1
1A2U	bio	A	C1
1A2V	bio	A2	C2
1A2W	bio	A2	C2
1A2X	bio	AB	C1
1A2Y	bio	A2B2C2	C2
1A2Z	bio	A4	D2
2A20	bio	A4	D2
2A21	bio	A4	D2
2A22	bio	A	C1
2A24	bio	A	C1
2A25	bio	A2B2	C2
2A26	bio	A2	C2
2A27	bio	A2	C2
2A28	bio	A	C1
2A29	bio	A	C1
2A2A	bio	A2	C2
2A2B	bio	A2	C2
2A2C	bio	A	C1
2A2D	bio	A	C1
2A2E	bio	A	C1
2A2F	bio	X2	C2
2A2G	bio	A	C1
2A2I	bio	A4	D2
2A2J	bio	A2	C2
2A2K	bio	A	C1
2A2L	bio	A2	C2
2A2M	bio	A2	C2
2A2N	bio	A	C1
2A2O	bio	A2	C2
2A2P	bio	A2	C2
2A2Q	bio	T	C1
2A2R	bio	A2	C2
2A2S	bio	A2	C2
2A2T	bio	A	C1
2A2U	bio	A	C1
2A2V	bio	A	C1
2A2X	bio	LHP	C1
2A2Y	bio	LHP	C1
2A2Z	bio	A2	C2
3A20	bio	A2	C2
3A21	bio	A	C1
3A22	bio	A	C1
3A23	bio	A	C1
3A24	bio	A2	C2
3A25	bio	A	C1
3A26	bio	A	C1
3A27	bio	A	C1
3A28	bio	A4	D2
3A29	bio	A4	D2
3A2A	bio	A2	C2
3A2B	bio	A2	C2
3A2C	bio	A	C1
3A2E	bio	A	C1
3A2F	bio	A	C1
3A2G	bio	A	C1
3A2H	bio	A	C1
3A2I	bio	A	C1
3A2J	bio	A	C1
3A2K	bio	A2C2	C2
3A2L	bio	A	C1
3A2M	bio	A2	C2
3A2N	bio	A	C1
3A2O	bio	A2	C2
3A2P	bio	A2	C2
3A2Q	bio	A2	C2
3A2S	bio	X3	C3
3A2V	bio	A2	C2
3A2W	bio	A10	D5
3A2X	bio	A10	D5
3A2Y	bio	A	C1
3A2Z	bio	A2	C2
4A20	bio	A2	C2
4A21	bio	A2	C2
4A22	bio	A2	C2
4A23	bio	A2	C2
4A24	bio	A2	C2
4A25	bio	A3	C3
4A26	bio	A2	C2
4A27	bio	A2	C2
4A28	bio	A	C1
4A29	bio	A	C1
4A2A	bio	A	C1
4A2B	bio	A	C1
4A2C	bio	A2	C2
4A2D	bio	A	C1
4A2E	bio	A	C1
4A2F	bio	A	C1
4A2G	bio	A	C1
4A2H	bio	A	C1
4A2J	bio	A	C1
4A2L	bio	A2	C2
4A2N	bio	B	C1
4A2O	bio	A2	C2
4A2P	bio	A	C1
4A2Q	bio	A	C1
4A2R	bio	A	C1
4A2S	bio	A	C1
4A2U	bio	A2	C2
4A2V	bio	A	C1
4A2W	bio	A	C1
4A2X	bio	M	C1
4A2Y	bio	A	C1
5A22	bio	A	C1
5A23	bio	A2	C2
5A24	bio	A	C1
5A25	bio	A	C1
5A2K	bio	H	C1
5A2L	bio	H	C1
5A2N	bio	A	C1
5A2O	bio	A	C1
5A2X	bio	A2	C2
1A30	bio	A2	C2
1A31	bio	A	C1
1A32	bio	A	C1
1A33	bio	A	C1
1A34	bio	C	C1
1A35	bio	A	C1
1A36	bio	A	C1
1A37	bio	A2P2	C2
1A38	bio	A2P2	C2
1A39	bio	A	C1
1A3A	bio	A	C1
1A3B	bio	LHI	C1
1A3C	bio	A2	C2
1A3D	bio	A	C1
1A3E	bio	LHI	C1
1A3F	bio	A	C1
1A3G	bio	A2	C2
1A3H	bio	A	C1
1A3I	bio	A	C1
1A3J	bio	A	C1
1A3K	bio	A	C1
1A3L	bio	LH	C1
1A3M	bio	LH	C1
1A3N	bio	A2B2	C2
1A3O	bio	A2B2	C2
1A3P	bio	A2B2	C2
1A3Q	bio	A	C1
1A3R	bio	P	C1
1A3S	bio	A	C1
1A3T	bio	A	C1
1A3U	bio	A	C1
1A3V	bio	A	C1
1A3W	bio	A4	D2
1A3X	bio	A4	D2
1A3Y	bio	A	C1
1A3Z	bio	A	C1
2A30	bio	A2	C2
2A31	bio	A	C1
2A32	bio	A	C1
2A33	bio	A2	C2
2A35	bio	A2	C2
2A36	bio	A2	C2
2A37	bio	A2	C2
2A38	bio	A	C1
2A39	bio	A	C1
2A3A	bio	A	C1
2A3B	bio	A	C1
2A3C	bio	A	C1
2A3D	bio	A	C1
2A3E	bio	A	C1
2A3F	bio	X	C1
2A3G	bio	A2B2	C2
2A3H	bio	A	C1
2A3I	bio	AB	C1
2A3J	bio	AB	C1
2A3K	bio	A	C1
2A3L	bio	A2	C2
2A3M	bio	A	C1
2A3N	bio	A2	C2
2A3P	bio	A	C1
2A3Q	bio	A4	D2
2A3R	bio	A2	C2
2A3S	bio	A2	C2
2A3T	bio	A3	C3
2A3U	bio	A	C1
2A3V	bio	A	C1
2A3W	bio	A5	C5
2A3X	bio	A5	C5
2A3Y	bio	A5	C5
2A3Z	bio	ABC	C1
3A30	bio	A	C1
3A31	bio	A2	C2
3A32	bio	A2	C2
3A33	bio	A2B2	C2
3A34	bio	A	C1
3A35	bio	A	C1
3A36	bio	A2	C2
3A37	bio	A2	C2
3A38	bio	A	C1
3A39	bio	A	C1
3A3A	bio	A	C1
3A3B	bio	A	C1
3A3C	bio	A	C1
3A3D	bio	A2	C2
3A3E	bio	A2	C2
3A3F	bio	A2	C2
3A3G	bio	A	C1
3A3H	bio	A	C1
3A3I	bio	A2	C2
3A3J	bio	A	C1
3A3K	bio	A2	C2
3A3N	bio	AB	C1
3A3O	bio	AB	C1
3A3P	bio	AB	C1
3A3Q	bio	A	C1
3A3R	bio	X	C1
3A3T	bio	A	C1
3A3U	bio	A	C1
3A3V	bio	A	C1
3A3W	bio	A2	C2
3A3X	bio	A2	C2
3A3Y	bio	G2	C2
3A3Z	bio	X	C1
4A33	bio	A	C1
4A34	bio	A2	C2
4A35	bio	A2	C2
4A36	bio	AS	C1
4A37	bio	A	C1
4A38	bio	A	C1
4A39	bio	A	C1
4A3B	bio	A	C1
4A3C	bio	A	C1
4A3D	bio	A	C1
4A3E	bio	A	C1
4A3F	bio	A	C1
4A3G	bio	A	C1
4A3H	bio	A	C1
4A3I	bio	A	C1
4A3J	bio	A	C1
4A3K	bio	A	C1
4A3L	bio	A	C1
4A3M	bio	A	C1
4A3N	bio	A	C1
4A3O	bio	A	C1
4A3P	bio	A	C1
4A3Q	bio	A2	C2
4A3R	bio	A2	C2
4A3S	bio	A4	D2
4A3T	bio	A	C1
4A3U	bio	A2	C2
4A3V	bio	E	C1
4A3W	bio	A	C1
4A3X	bio	A	C1
4A3Y	bio	A2	C2
5A3C	bio	A	C1
5A3D	bio	D	C1
5A3E	bio	A2	C2
5A3F	bio	A	C1
5A3G	bio	A	C1
5A3H	bio	A	C1
5A3P	bio	A2	C2
5A3T	bio	A2	C2
5A3U	bio	A	C1
1A40	bio	A	C1
1A41	bio	A	C1
1A42	bio	A	C1
1A43	bio	A2	C2
1A44	bio	A	C1
1A45	bio	A	C1
1A46	bio	I	C1
1A47	bio	A	C1
1A48	bio	A	C1
1A49	bio	A4	D2
1A4A	bio	A2	C2
1A4B	bio	A2	C2
1A4C	bio	A2	C2
1A4D	bio	A2	C2
1A4E	bio	A4	D2
1A4F	bio	A2B2	C2
1A4G	bio	A4	C4
1A4H	bio	A2	C2
1A4I	bio	A2	C2
1A4J	bio	AB	C1
1A4K	bio	AB	C1
1A4L	bio	A	C1
1A4M	bio	A	C1
1A4O	bio	A2	C2
1A4P	bio	A	C1
1A4Q	bio	A4	C4
1A4R	bio	A2	C2
1A4S	bio	A4	D2
1A4T	bio	A4	D2
1A4U	bio	A2	C2
1A4V	bio	A	C1
1A4W	bio	LHI	C1
1A4X	bio	A6	D3
1A4Y	bio	A2B2	C2
1A4Z	bio	A4	D2
2A40	bio	C	C1
2A41	bio	ABC	C1
2A42	bio	AB	C1
2A43	bio	A	C1
